gap_type,alpha,xmin_s,xmin_h
global,1.671173,1402.000000,0.389444
global,1.503695,1033.000000,0.286944
global,1.444340,1577.000000,0.438056
global,1.544390,138.000000,0.038333
global,2.150115,17364.000000,4.823333
global,2.187411,11131.000000,3.091944
global,1.371749,80.000000,0.022222
global,3.645659,54804.000000,15.223333
global,1.570210,765.000000,0.212500
global,1.741995,421.000000,0.116944
global,1.304466,65.000000,0.018056
global,1.424578,42.000000,0.011667
global,1.672954,2258.000000,0.627222
global,1.438348,102.000000,0.028333
global,3.867566,50539.000000,14.038611
global,3.392100,36474.000000,10.131667
global,1.859634,4597.000000,1.276944
global,1.672825,336.000000,0.093333
global,1.711580,5311.000000,1.475278
global,1.293236,145.000000,0.040278
global,1.280824,27.000000,0.007500
global,2.814884,48684.000000,13.523333
global,1.622178,132.000000,0.036667
global,4.119380,38852.000000,10.792222
global,1.472886,168.000000,0.046667
global,1.481426,132.000000,0.036667
global,2.638437,11466.000000,3.185000
global,1.505015,1165.000000,0.323611
global,1.454354,152.000000,0.042222
global,1.380114,153.000000,0.042500
global,1.244014,27.000000,0.007500
global,2.271793,21625.000000,6.006944
global,1.252259,55.000000,0.015278
global,5.264068,55817.000000,15.504722
global,1.603245,1780.000000,0.494444
global,2.989819,1460.000000,0.405556
global,2.300122,21694.000000,6.026111
global,3.989216,41173.000000,11.436944
global,1.229580,10.000000,0.002778
global,2.067448,4744.000000,1.317778
global,1.631116,4693.000000,1.303611
global,3.250561,32351.000000,8.986389
global,1.729224,971.000000,0.269722
global,2.565538,50895.000000,14.137500
global,1.555160,2249.000000,0.624722
global,2.451067,8043.000000,2.234167
global,2.307577,9191.000000,2.553056
global,2.947544,35844.000000,9.956667
global,1.332035,140.000000,0.038889
global,1.253841,14.000000,0.003889
global,2.140669,5123.000000,1.423056
global,2.791195,39483.000000,10.967500
global,1.285486,24.000000,0.006667
global,1.339950,56.000000,0.015556
global,6.978633,59645.000000,16.568056
global,1.570595,1213.000000,0.336944
global,1.261425,64.000000,0.017778
global,3.326571,45599.000000,12.666389
global,1.507279,740.000000,0.205556
global,2.641617,6145.000000,1.706944
global,1.534356,104.000000,0.028889
global,2.147973,4819.000000,1.338611
global,3.022219,20496.000000,5.693333
global,1.570654,159.000000,0.044167
global,1.847500,3622.000000,1.006111
global,1.500450,363.000000,0.100833
global,1.429246,110.000000,0.030556
global,1.464142,183.000000,0.050833
global,3.326252,29834.000000,8.287222
global,2.630777,24444.000000,6.790000
global,1.746815,3269.000000,0.908056
global,3.832590,58834.000000,16.342778
global,1.731709,3833.000000,1.064722
global,2.655722,13671.000000,3.797500
global,1.576464,48.000000,0.013333
global,1.495062,668.000000,0.185556
global,1.379727,447.000000,0.124167
global,1.417596,157.000000,0.043611
global,1.686699,1934.000000,0.537222
global,3.362117,32486.000000,9.023889
global,4.600951,35894.000000,9.970556
global,2.256827,20067.000000,5.574167
global,1.609158,2069.000000,0.574722
global,1.467118,284.000000,0.078889
global,1.487489,82.000000,0.022778
global,1.570311,591.000000,0.164167
global,1.894272,6549.000000,1.819167
global,2.621441,48889.000000,13.580278
global,2.019171,3280.000000,0.911111
global,1.726763,131.000000,0.036389
global,1.361142,96.000000,0.026667
global,1.567904,324.000000,0.090000
global,4.822803,43572.000000,12.103333
global,1.993864,7762.000000,2.156111
global,1.834179,4621.000000,1.283611
global,2.811246,43874.000000,12.187222
global,2.234005,23322.000000,6.478333
global,1.341198,226.000000,0.062778
global,1.450035,146.000000,0.040556
global,4.509267,43386.000000,12.051667
global,3.070782,39501.000000,10.972500
global,1.712433,1898.000000,0.527222
global,2.498765,32347.000000,8.985278
global,3.301534,23938.000000,6.649444
global,1.493595,42.000000,0.011667
global,1.296641,171.000000,0.047500
global,3.043336,47956.000000,13.321111
global,3.377219,63266.000000,17.573889
global,3.627684,3650.000000,1.013889
global,1.943982,9623.000000,2.673056
global,1.680071,3600.000000,1.000000
global,1.383032,96.000000,0.026667
global,2.052343,6148.000000,1.707778
global,1.649976,3017.000000,0.838056
global,1.610763,1404.000000,0.390000
global,1.693476,1084.000000,0.301111
global,1.454177,210.000000,0.058333
global,1.865032,3429.000000,0.952500
global,1.793387,4582.000000,1.272778
global,1.854360,123.000000,0.034167
global,2.594893,23057.000000,6.404722
global,2.077084,23329.000000,6.480278
global,2.187005,14905.000000,4.140278
global,2.137425,12363.000000,3.434167
global,5.633620,34247.000000,9.513056
global,1.627372,1285.000000,0.356944
global,1.974243,4376.000000,1.215556
global,2.663561,35043.000000,9.734167
global,1.411860,230.000000,0.063889
global,1.378148,48.000000,0.013333
global,2.033222,2106.000000,0.585000
global,1.429530,149.000000,0.041389
global,2.088238,5055.000000,1.404167
global,62.950723,10680.000000,2.966667
global,1.931458,1335.000000,0.370833
global,3.274396,51474.000000,14.298333
global,2.081559,26946.000000,7.485000
global,3.765768,65417.000000,18.171389
global,1.982146,4250.000000,1.180556
global,6.528754,81411.000000,22.614167
global,2.323070,11524.000000,3.201111
global,2.193648,27815.000000,7.726389
global,1.295410,43.000000,0.011944
global,1.723448,1438.000000,0.399444
global,2.278305,10721.000000,2.978056
global,1.472891,144.000000,0.040000
global,2.716525,15572.000000,4.325556
global,3.825528,45653.000000,12.681389
global,1.281551,87.000000,0.024167
global,1.433060,3.000000,0.000833
global,2.069922,3281.000000,0.911389
global,1.552378,4.000000,0.001111
global,2.495915,33243.000000,9.234167
global,3.731659,32578.000000,9.049444
global,1.317914,47.000000,0.013056
global,1.502648,149.000000,0.041389
global,1.278092,59.000000,0.016389
global,1.852193,1249.000000,0.346944
global,1.627464,2407.000000,0.668611
global,1.507511,25.000000,0.006944
global,1.637440,482.000000,0.133889
global,1.433360,248.000000,0.068889
global,1.849082,2034.000000,0.565000
global,1.569883,872.000000,0.242222
global,1.967080,3868.000000,1.074444
global,1.811846,3629.000000,1.008056
global,2.524445,2230.000000,0.619444
global,1.794555,1726.000000,0.479444
global,1.840157,3880.000000,1.077778
global,2.436101,9302.000000,2.583889
global,1.992401,4162.000000,1.156111
global,1.289090,47.000000,0.013056
global,7.066311,46302.000000,12.861667
global,2.160998,5590.000000,1.552778
global,3.817950,59197.000000,16.443611
global,2.169282,19168.000000,5.324444
global,3.512393,33406.000000,9.279444
